id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage
58607	1	"58607-blur"	14	[]	5	1463	1	"Zoltan Boros"	0	"흐릿해지기"	"이번 턴에 내 영웅이 피해를 받지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d14e4d34346c50263b24f7c5f20a9675378b968ff04934e6dc6dedee1d37651.png"	""	"\"그럼 저도 도끼를 피할 수 있다고요?\" \"아니, 네가 악마사냥꾼이라면 그럴 필요도 없어.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c49a59d861fd6fb9a1c8d8f97f7936303033269e75a46bd5487ae5eb5140834a.png"
59394	1	"59394-demon-companion"	14	[14,3]	5	1443	3	"Zoltan Boros"	1	"악마의 벗"	"무작위 악마의 벗을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f88b0402fbbf3feeb3c5df5e88bb363637ccca0bfc4146b6381a08c706b61aca.png"	""	"때로는 지옥보다 더한 난장판을 만들기도 하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d8c97c0dd4613c24b1ea621ef80cf19f126c173e27160464d52cc3ca0c75a00.png"
58610	1	"58610-mana-burn"	14	[]	5	1463	1	"Hideaki Takamura"	1	"마나 연소"	"상대편이 다음 턴에 획득하는 마나 수정이 2개 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7735c4996579e8a32d7411d09cabd5dbd79b13327a2d45f9626766f477c77a8.png"	""	"너흰 아직 (마나 수정이) 준비가 안 됐다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01bd597571edfa3815343637e7c9cfd35613a6c4d498a31aa8f1ab220288f30b.png"
56791	1	"56791-chaos-strike"	14	[]	5	2	2	"Zoltan Boros"	2	"혼돈의 일격"	"이번 턴에 내 영웅이 공격력을 +2 얻습니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f68ec4d7c17c11dafa5475421947184f8bf23e05db61ebe057b17de3fa21102.png"	""	"혼돈은 예상하지 못한 때 찾아오는 법이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3174d0af59eff27e82a51ba9ed0ba04e4f7f0f6975b52ad4aacf319b12305b0.png"
59869	1	"59869-immolation-aura"	14	[]	5	1414	1	"L. Lullabi & K. Turovec"	2	"제물의 오라"	"<b>모든</b> 하수인에게 피해를 1 줍니다. 2번 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8a348e300637c58fccdfc73aadd74d2fa1b928616aa09db6d363925e50feb4e.png"	""	"열기가 너무 뜨거울 땐 잠시 꺼두셔도 좋습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b05c78aeb6c79710320eca36552fdba052b31c4ceec7dc99cbe61425e73294f.png"
56873	1	"56873-feast-of-souls"	14	[]	5	1463	3	"Anton Zemskov"	2	"영혼의 향연"	"이번 턴에 죽은 아군 하수인의 수만큼 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b37912367a824559c82133d3659b0178e4fccbbd3fd1520ea71f8c95ccbfda58.png"	""	"그야말로 영혼에 위안을 주는 맛이네요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbfd1bbba5dcca5d5deb19f98b7eff09afde75cca5a7a276f49eb356850c9c9b.png"
58492	1	"58492-blade-dance"	14	[]	5	1463	3	"Zoltan Boros"	2	"칼춤"	"무작위 적 하수인 셋에게 내 영웅의 공격력만큼 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa26e04d02bba29b7da5dba351c058c40bc2480023ae60aa35a03f84a770ff9f.png"	""	"\"나에게 춤은... 살인이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ae66e1586d38f180b7521d0f16312478c1aedb5ea3dd73c16c3cd8abe6eaeaf.png"
58246	1	"58246-soul-split"	14	[]	5	1463	3	"Slawomir Maniak"	4	"영혼 분열"	"아군 악마를 선택합니다. 그 악마를 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8fbda9d04f1cb4d21bd5b31f23dcd436f72159b33bc8ff94db920710e4faac0.png"	""	"이 중에 누가 형이고, 누가 동생일까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a536745855c8ebcb26d1cd97455f33d00a19a20da7e9a88677b9ec1e4b41791c.png"
57847	1	"57847-chaos-nova"	14	[]	5	2	2	"Rafael Zanchetin"	5	"혼돈의 회오리"	"<b>모든</b> 하수인에게 피해를 4 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0157930c7962387ae3dcf7dc101f67e5d491831e18f623c759024e2ef6eded7e.png"	""	"회오리가 휘몰아친 곳에는 허망한 혼돈만이 남으리."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78c24436a9851fd028772e5fbf9be20ce25c7f8ca4d4374084e949d95c9c8e04.png"
59867	1	"59867-inner-demon"	14	[]	5	2	2	"Gonzalo Ordonez"	8	"내면의 악마"	"이번 턴에 내 영웅이 공격력을 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0db81c578e0f001e525a1799b525d6ec9e77fb5002521ba1a4c38e6138607e6.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7529c0f3c1d5b8ba63965793cf4bb1a7a1217f74f7670eafa6ac8bb6f54b1492.png"	"\"나라는 괴물을 감당할 수 있겠어?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/026d3b08eee22507d83da1f40689b3cd352d0d4ee26d07c041e5b43878d04472.png"
