id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage	keywordIds
56583	1	"56583-aldrachi-warblades"	14	[]	7	2	2	"J. Axer"	2	3	2	"알드라치 전투검"	"<b>생명력 흡수</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd6870026381137b0b31b84e144e6acfc88acc898500e5c1353dd97120b1422a.png"	""	"알드라치는 불타는 군단에 맞서 일어선 강대한 전사들이었습니다. 칼자루의 위치만 바꿔서 달았더라면 더 강했을 테지만요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7f1196c89e05eb6b60b079491a9874d16717b4fd2a15b97f1bb96288628d72c.png"	[38]
59089	1	"59089-marrowslicer"	14	[]	7	1443	1	"Akkapoj T."	4	4	2	"골수절단기"	"<b>전투의 함성:</b> 영혼 파편을 내 덱에 둘 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e638af11573cd59f53175022d105e76a39b3195524f4950b9f88d6baac5a48d.png"	""	"얼음왕관 성채의 첫 우두머리를 처치하기 딱 좋은 무기입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/096dc6f9ccfb96be277870dbb1acb70b6c0688740b57a479b7b075e2680c70a6.png"	[8]
46107	1	"46107-twig-of-the-world-tree"	2	[]	7	1004	5	"Alexey Aparin"	1	4	5	"세계수의 가지"	"<b>죽음의 메아리:</b> 마나 수정을 10개 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fb2921c724c56eb6f1d07108f277c5beaf2f5552541ba4c52e906885189d0686.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f4dd59bbf5da9ac7afc037cc8cb63031f19538bf6aaf479f25ad97eb338cdeb.png"	"세계로 뻗어 나가는 우수한 드루이드를 위한 가지입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2145cc616bf539204369d054b830903d09c2dba6a936c490449efc9ec13a05d.jpg"	[12]
45537	1	"45537-candleshot"	3	[]	7	1004	1	"Anton Kagounkin"	1	1	3	"양초 화살"	"내 영웅이 공격할 때, <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bcd24d7e46b9c67f80a63741f3b48b8082db4f513c9f10b89f534f01cff1b2b0.png"	""	"귀족식 명칭은 고대 수염수염 가문의 명예로운 단궁, 양초 드 화사르."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/88bc5e1d50b1a47b6b1e6e70313a2f95cb93377c3e4106cc969a5e6416baf7bd.jpg"	[17]
2011	1	"2011-glaivezooka"	3	[]	7	13	1	"Gino Whitehall"	2	2	2	"수리검포"	"<b>전투의 함성:</b> 무작위 아군 하수인에게 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/120334913d4feca6a16ee21f15cb9171a5be96df1bca9d9ed1a68aba4f47ff35.png"	""	"보통 바주카포로는 부족할 때 사용합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce4aa62d1746eb4a3b0ed598c7fc325bb344c77dec54f11a2dd1aba10c693009.jpg"	[8]
1662	1	"1662-eaglehorn-bow"	3	[]	7	3	3	"Cyril Van Der Haegen"	3	3	2	"독수리뿔 장궁"	"내 <b>비밀</b>이 밝혀질 때마다 내구도를 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffc9dca07181c4449aa21f89ddf18e015dfb4879126ec3754a7073be6e191e86.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6adf576557d03c85764179e4a36f2931f754ef5f890def124165fe4f74c447ff.png"	"깡통들을 위한 장궁 제1장: 화살촉은 내가 아닌 상대방을 향하라"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db06d7b03c0ee902cdbdf7439e411be8e59297e9be701711de87679dcfde109f.png"	[5]
311	1	"311-gladiators-longbow"	3	[]	7	3	4	"Peter C. Lee"	5	7	2	"검투사의 장궁"	"내 영웅이 공격할 때, <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/967c202bc6ff9426c44a562b938452a23c87bc33212bcc66c4e7f989a579c381.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/763bf6c405de98f7d6881845bdb78d325961b4b9a39a2912168683c64c17819c.png"	"멀리서 쏠 수 있기 때문에 냄새가 지독한 적을 상대할 때 유용합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7ee1c6ca30774186dd13a404131e7931404b41462b6ce5be30fe771e88f0f93.png"	[17]
43369	1	"43369-rhokdelar"	3	[]	7	1004	5	"Trent Kaniuga & James Martin"	4	7	2	"라크델라"	"<b>전투의 함성:</b> 내 덱에 하수인이 없으면, 내 손을 사냥꾼 주문으로 가득 채웁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/265423179145aa198526fa40e994b7849bfa429bd5abe8fcc18b213cfe79e3be.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7ab5898c821a1842e1202f26cc8a11b08dbd15d46b25d0cdf20c88311204252.png"	"라크델라 조심해라, 큰코다칠라! 하하하!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c0ba14e721b86dc54f6c82a99229ba40b3e12e070b95219db7721176c8aa38a.jpg"	[8]
50512	1	"50512-bloodclaw"	5	[]	7	1129	1	"Akkapoj T."	2	1	2	"피발톱"	"<b>전투의 함성:</b> 내 영웅에게 피해를 5 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffa3e3b4afd4a72f594678821e72ba252edd43e3e116afcb814edc3f63b847e3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/829eb7b0e70361ebe4c502c815b20b0176451548d649981751ca5f52708e07d9.png"	"이 무기는... 아야! 아주 섬세하게... 아야! 다뤄야 한다고."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a4e748cc55a0f6536047727ac0a6d0159f8dda3442b1f5b81a8d64071236f26.png"	[8]
2720	1	"2720-argent-lance"	5	[]	7	15	3	"Joe Wilson"	2	2	2	"은빛십자군 창"	"<b>전투의 함성:</b> 각 덱의 하수인을 공개해 내 것의 비용이 더 높으면, 내구도를 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fdccd2805d92741f515c9a3219235adf21c8bc57fe9efc185c027a576d7a3ec9.png"	""	"무늬가 막대사탕처럼 생겼지만 맛보는 건 권하지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5628780ec74904992b72471f8bc20ea3ffbbbed6779345334a6f47c56cdd24dd.jpg"	[8]
