id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage
50595	1	"50595-overlords-whip"	10	[]	7	1129	1	"Akkapoj T."	2	3	4	"대군주의 채찍"	"내가 하수인을 낸 후에, 그 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e18f19d97681902794139af2392d8a7a8b8cdfc7d5b6d3af10205aaa4bf5e5e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/906cd2fde5e5ebbbbd51b9ec6136d944315f64fb0938747f5a139a6afff27b3d.png"	"\"이건 고통의 수행사제한테, 이건 검은울음 포탑한테, 이건 썩은얼굴한테...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d305cbd1214f75dcc58223ff8c943b71d68de4c9dcceca26098d0a57e23a9891.png"
2763	1	"2763-poisoned-blade"	7	[]	7	15	4	"Nutthapon Petchthai"	1	2	3	"독 묻은 칼"	"내가 영웅 능력을 사용하면 무기를 교체하는 대신, 이 무기에 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1441c7facab28a69a0f6f0c16c9f687f8124b966f13560bcf71a69e960d9ce8c.png"	""	"독이 묻을 때마다 상대의 얼굴은 창백해집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9888ceda2fd862aca190aa8982bad29c8d2889ddeac079f1b2e5613eaf39291d.png"
56294	1	"56294-the-fist-of-ra-den"	8	[]	7	1403	5	"Katherine Fortune"	1	4	4	"라덴의 주먹"	"내가 주문을 시전한 후에, 같은 비용의 무작위 <b>전설</b> 하수인을 소환하고 내구도를 1 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/057f442ecfd0731adcaa141e3b4c11b4b02d7f0131aa5fbc4b1616d0f3b24907.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f71b129a1d5c9c7bbd40204e1e76c973f9af78634a7ed4a79d678296359dc74c.png"	"위대한 라덴은 폭풍의 수호자라고 불렸습니다. 하지만 불행하게도 자신의 주먹은 수호하지 못했죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eca1372d399e3e268c746aaf7cfb51003c9418863f715f95fd152bd79041597c.png"
56443	1	"56443-underlight-angling-rod"	5	[]	7	1414	4	"Jason Kang"	3	3	2	"미명 낚싯대"	"내 영웅이 공격한 후에, 무작위 멀록을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c53206fb5fe6407958850d29afe1480c9891c92d257dfef95a871c9c5ddd70a.png"	""	"\"멀척이다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cf0f2bb01915166c093694ce692a10ce45ec0ce22a65789949190206fa22cf4.png"
56413	1	"56413-boggspine-knuckles"	8	[]	7	1414	4	"Grace Liu"	4	5	2	"수렁돌기 너클"	"내 영웅이 공격한 후에, 내 하수인들을 비용이 (1) 높은 무작위 하수인으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/043da6a7244a57e703c004cbffcc4c21fa1cec6cc5b8df00cf9ef1bfdb5f8917.png"	""	"\"그렇다면 이쪽도 비장의 카드다. 진화 펀치!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87da8de4dc1e34f2ff0c63be265ff35975e6f04de1aba4a7f3ef2cc2832d4ed8.png"
57721	1	"57721-bulwark-of-azzinoth"	10	[]	7	1414	5	"SARIYA"	1	3	4	"아지노스의 보루 방패"	"내 영웅이 피해를 받을 때마다 내구도를 1 잃고 그 피해를 막습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0411f6104a6a585d376db823a5a2a06dbf540531513d8c916077985c5a63f6df.png"	""	"단단한 아지노스의 보루로 든든한 아제로스의 하루 보내시길."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d72fe5aed69774450aaed82db20b70fed8d907da6e41e20ce60126d6b58cf316.png"
56900	1	"56900-warglaives-of-azzinoth"	14	[]	7	1414	4	"SARIYA"	3	5	3	"아지노스의 쌍날검"	"내 영웅이 하수인을 공격한 후에, 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1340807607b275e2288eaeacedf20f3230ebd599d34e462450cb1cad69dcb5ed.png"	""	"보이지 않는 깊은 곳에서부터 초록빛으로 메아리치는 칼날, 그 지옥불꽃의 희미한 빛에서 소용돌이치는 어두운 꿈을 보았네."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e66d0b21c9e605bf1299d2bf89a5e73c27632ce346f7336186d22e294ec8915a.png"
90681	1	"90681-idols-adoration"	6	[]	7	1809	1	"Maria Trepalina"	0	1	2	"우상의 경애"	"내 영웅 능력의 비용이 (0)이 됩니다. 내가 영웅 능력을 사용한 후에, 내구도를 1 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5de7e09253b8c8b871a2fd8215097ccaf9c61ca64c4a8131ad029c10828fb8a4.png"	""	"몽둥이가 아니라 마이크예요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d2bb867f62750035ea2005724aa484dbc02e6762ad4e940837b946fbf243720.png"
47201	1	"47201-silver-sword"	5	[]	7	1125	3	"Nutchapol Thitinunthakorn"	3	8	4	"은장검"	"내 영웅이 공격한 후에 내 하수인들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cfd9f213335c3e80fd139b0c8f4f48c7edf9a425141bb461a26e244795d6801d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1f072c5d30ef4a8dfe5ff1874bfc14dade892cd844318450da9e81eab178527.png"	"은장검의 가장 큰 장점은... 반짝인다는 거죠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00c929c4ed0879feec21c98fc5cfbfa28cc67322192814a8fef6b9a45e1311e7.png"
48526	1	"48526-supercollider"	10	[]	7	1127	4	"Jason Kang"	1	5	3	"자동충돌망치"	"내 영웅이 하수인을 공격한 후에, 그 하수인이 자신의 양옆에 있는 하수인 중 하나를 공격하게 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f938d168f0cc8cc52ae17e343875f3e906b95d81d947862e4cdf090e70b1511.png"	""	"붐의 운동의 제2법칙: 세게 때리면 아프다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44191cfb205ee296ee251ea415348c50eeaf3d2e88b406d61af206addabd826f.png"
