id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId	duels
76304	1	"76304-bash"	10	[]	5	1637	1	"Dany Orizio"	2	"강타"	"피해를 3 줍니다. 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f58ab3ed59e0b76a25f435a320689e84eef50eb41c1c510eab47c9dd868ec503.png"	""	"적을 강타하는 게 쉽다고 생각하세요? 네, 쉬운 거 맞습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5cc1d54a84aa2c2b313ef59a4560725432e4d762bc2f070b1f4ec4bab0198573.png"	2729	{"relevant":true,"constructed":true}
69638	1	"69638-slam"	10	[]	5	1637	1	"E. M. Gist"	1	"격돌"	"하수인에게 피해를 2 줍니다. 그 하수인이 생존하면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ee00e9b4c60da02f1a6462daeb420a65bfbbcb41dcbac544e7731a46cd6eb54.png"	""	"난 딱 죽지 않을 만큼만 패지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c4357edf15c8ed6f62b8e0415ec2d36b01e4c47db466bdbbcaac8eaa324d9d09.png"	1074	{"relevant":true,"constructed":true}
69521	1	"69521-backstab"	7	[]	5	1637	1	"Michael Sutfin"	0	"기습"	"피해를 받지 않은 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/934bae4242eb2c7592258c99b1005ab6006d370d0fd038ed5c48d6bb21b2acf9.png"	""	"사실 이 기술은 \"저게 뭐지?!\" 라는 말을 듣고 등을 보인 적에게 사용하는 기술입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f3b84c7f6b752034eda6a3a968fbf86aee0e86c919c6d249a7b233498ee6199.png"	180	{"relevant":true,"constructed":true}
69640	1	"69640-brawl"	10	[]	5	1637	4	"Wayne Reynolds"	5	"난투"	"무작위 하수인 하나를 제외한 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7bdcd8049554b81d936ff2bfad0591203046d48e43aef4479f77625ddf634c95.png"	""	"싸움꾼 조합의 첫 번째 규칙이 뭐죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d9c38301384f729737b289cad66b6427f185b43d443708d9101218fa9da4421.png"	75	{"relevant":true,"constructed":true}
69535	1	"69535-execute"	10	[]	5	1637	1	"Dany Orizio"	1	"마무리 일격"	"피해를 받은 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1ebb0f702def0c402c8d2ef13c1a4891506ed2b5b20bcb96782d3b88f53e5f0.png"	""	"마무리 일격이 가능해지면 전사들은 눈에 핏발을 세운다죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc1bbb664b07dd51b8a4040d2423af8a290eeb4b1efa000a240b6c6dc560491f.png"	785	{"relevant":true,"constructed":true}
69623	1	"69623-preparation"	7	[]	5	1637	4	"Clint Langley"	0	"마음가짐"	"이번 턴에 내가 시전하는 다음 주문의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7937eb165a9115a1384de43131bc52a46611bbd455a1f6af0b0fe1b2521f069.png"	""	"\"항상 대비하라.\" - 도적 격언"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3cf80b6377993525ddfb06a6640d535fb2da3607174ca42478908657a71a24c9.png"	1158	{"relevant":true,"constructed":true}
69641	1	"69641-shield-slam"	10	[]	5	1637	4	"Raymond Swanland"	1	"방패 밀쳐내기"	"내 방어도만큼 하수인에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a9f6e1092f961d2666607180862dc99e1655c919f5ea494e26007798bcba9c4.png"	""	"\"좋은 무기란 무엇일까? 날카롭지만 상대가 예상할 수 있는 것? 아니면 무디지만 상대가 예상치 못하는 것?\" - 전사의 정석, 제9 장"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5a3e251902768a10d551373cef2de6348ae35eb7c7df6fb80eb3a132f38d7e96.png"	546	{"relevant":true,"constructed":true}
76302	1	"76302-shield-block"	10	[]	5	1637	1	"Michael Komarck"	2	"방패 올리기"	"방어도를 +5 얻습니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43b3b6647083eb8103fa899a2624ae17483f8150c48c016886139850076c34af.png"	""	"얼굴 올리기는 도무지 쓸모가 없어서 방패 올리기가 탄생했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b9e96d5a574a72a6ccd848a711eb3559a681c217a2ca0b28fad3dac445250574.png"	1023	{"relevant":true,"constructed":true}
69556	1	"69556-whirlwind"	10	[]	5	1637	1	"Jonboy Meyers"	1	"소용돌이"	"<b>모든</b> 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31972793cb7f1aa9699dbf6072dbd570b2c4af79ee84e9f9ef4c95f61e164909.png"	""	"노련한 전사와 풋내기 전사의 차이점은 간단합니다. 풋내기들은 소용돌이를 쓰면서 \"이얏호!\"라고 외치죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7ce750ba4e24e20c71a3b9fdfdd3b8c0daa283d2a241919237635955e8ede17.png"	636	{"relevant":true,"constructed":true}
69691	1	"69691-quick-shot"	3	[]	5	1637	1	"Jonboy Meyers"	2	"신속 사격"	"피해를 3 줍니다. 내 손에 카드가 없으면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e263663091c1e176c7c31776b303a3c4cf2354cc3579f097ae5ebe4463a7bff.png"	""	"이번 턴엔 내가 쏜다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e9ce165becda78b772df94a09790b32f096b0d02c31f16dc1967495a89e36201.png"	2260	{"relevant":true,"constructed":true}
69525	1	"69525-assassinate"	7	[]	5	1637	1	"Glenn Rane"	4	"암살"	"적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a5067b16782a1ec50a94cc2d2f77fe7b57c76a182b695698d15f181f392ec0c.png"	""	"암살당하기 싫다고요? 이름을 바꾸고 불모의 땅으로 가세요. 행운을 빕니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/91b0da729f9c6d5cbd5b9df1012809d5e3131c9b15ceaad41f36b5145a7071a6.png"	345	{"relevant":true,"constructed":true}
69689	1	"69689-pounce"	2	[]	5	1637	1	"Rudy Siswanto"	0	"암습"	"이번 턴에 내 영웅이 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/720c81758cb5dc17b4f76543cef84e565a57cd2533fe490addc8fbf55a8e79a2.png"	""	"빈 상자 안에 뛰어 들어가려는 엄청난 충동을 가지고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dbe898095d2346fe50a7780db58147c0265b9d920bdffff9ee706d3423ef9c2b.png"	49990	{"relevant":true,"constructed":true}
69688	1	"69688-feral-rage"	2	[]	5	1637	1	"Alex Alexandrov"	3	"야생의 분노"	"<b>선택 -</b> 이번 턴에 내 영웅에게 공격력을 +4 부여합니다. 또는 방어도를 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f0762a7177556b4323646aa586f50bd3d15f615214f7d48cb0021e39b54f52d.png"	""	"솔직히 말해, 분노하는 선택은 하나뿐입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62194b3f816aaa3a133e3be070f77f2b9b6910796357c0f641523ff6916b16fe.png"	38334	{"relevant":true,"constructed":true}
