id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId
102638	1	"102638-darkbomb"	9	[]	6	5	1898	1	"Jeff Haynie"	2	"검은폭탄"	"캐릭터에게 피해를 3 줍니다. 그 캐릭터가 죽으면, 암흑 주문을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87c6b86b8d0a06a8a8cc07cab6f6ff8c47be6f27413ab9b680c22739534d08e0.png"	""	"\"이모티콘\" 덱에는 필수로 들어가는 카드입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5a3bd7972390a464fc7587b87f6da83e27a0722949383bb915a35613de2bf14.png"	2093
102562	1	"102562-cabalists-tome"	4	[]	1	5	1898	4	"Milivoj Ceran"	4	"신비술사의 고서"	"무작위 마법사 주문을 셋 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d13b64139615670320e13aa2ce8fed957430e4685ff8036ef46b750854443899.png"	""	"없는 것 빼고 다 있습니다. 쿠키 조리법까지도요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29e26d09fa16874a75ec4ede925d530b6da7d1f62c4dda13ffd583ac1526f6eb.png"	38418
102575	1	"102575-lay-on-hands"	5	[]	5	5	1898	4	"Raymond Swanland"	6	"신의 축복"	"생명력을 8 회복시킵니다. 카드를 3장 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1708244841e2892e71285c1aadd878048684f105998dcbec9ca1db9ee038689b.png"	""	"당신의 목숨을 구해줄 단 한 장의 축복 같은 카드입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b3b69ed46a0023361720dab4f71fc311e6869cdfd1befbd091113993b8ca6a7.png"	594
103212	1	"103212-silvermoon-portal"	5	[]	5	5	1898	1	"Jimmy Lo"	3	"실버문 차원문"	"하수인에게 +2/+2를 부여합니다. 비용이 2인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/290ed996bd402806be433ad3d3091d8756549d8822cceee1f75fe7048b1d91c2.png"	""	"밀하우스 마나스톰이 왜 실버문에 있을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c363720e46f774eaf30bdbdf574fc869486b656174ea210d9b4c8e85b23e833e.png"	39716
103240	1	"103240-ironforge-portal"	10	[]	2	5	1898	1	"Nate Bowden"	4	"아이언포지 차원문"	"방어도를 +4 얻습니다. 비용이 4인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39fe86d1d86439038d9f930610d631a83ccbf40b66a11f9a7be0a45be32f39f7.png"	""	"철로 된 제련소에서 철을 제련하는 아름다운 아이언포지로 오세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/643a00469a6e8c7a7252cde8596f7c3e2061e5b2db4ef33077ef4270e31676fa.png"	39747
102636	1	"102636-demonfuse"	9	[]	6	5	1898	1	"Kevin Chen"	2	"악마의 기운"	"악마에게 +3/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/430b8e88a13f1cb85d4f54c076733fd2cfbb37500836b6023337127308897c58.png"	""	"지옥수호병이 파괴한 마나 수정은 이렇게 재활용됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6c08bdd4a1294990d104f7c64046dba94c92c47e9c7124aede33a764578546b6.png"	2535
102643	1	"102643-dark-bargain"	9	[]	6	5	1898	4	"Paul Mafayon"	4	"어둠의 거래"	"무작위 적 하수인 둘을 처치합니다. 무작위로 카드를 2장 버립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44c9e2f827e87277c2332dde2516256f9f4d3c2734760adf13d3ae1d01ce8314.png"	""	"거래이긴 하지만 양쪽 다 잃기만 할 뿐 얻는 건 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f48d7181f58c62be21702d383819a42332fe323ae44880c9955d4317b1b318ff.png"	2632
103226	1	"103226-bane-of-doom"	9	[]	6	5	1898	4	"Raymond Swanland"	5	"운명의 파멸"	"캐릭터에게 피해를 3 줍니다. 이 피해로 대상이 죽으면, 무작위 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/247e06a6e32aa1e414991c56cff804ee1c6b8656482b893ecb2e977a9b9b0475.png"	""	"임프도 악마입니다. 현명하게 선택하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/74ffcf417e0708ae43fcf2b0c64c8ffffd70689753930d8ea000d940aaea3bbf.png"	23
103238	1	"103238-reincarnate"	8	[]	4	5	1898	1	"Dan Scott"	1	"윤회"	"하수인을 처치하고, 그 하수인을 최대 생명력으로 다시 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/010f247cadd1b53d4f89877af38b0dd117c8c8d68ab45759f431d9d843b59280.png"	""	"여러분, 술사님 윤회 있으시답니다. 뛰지 마세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e23c1d8e1819af6fdfde4333b91714c0c2bb2b0fc2f524faa07d5d4684a28c6.png"	1809
103223	1	"103223-healing-wave"	8	[]	4	5	1898	3	"Luca Zontini"	3	"치유의 물결"	"생명력을 8 회복시킵니다. 각 덱의 하수인을 공개해 내 것의 비용이 더 높으면, 생명력을 16 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e8680b2616caad219b9112ec5bbbf452841a95414c761a0ee2b57d6b599cc6d0.png"	""	"복원의 길을 걷는 주술사들이 즐겨 쓰는 주문입니다. 가끔은 치유의 해일에 가까운 효과를 냅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9db92c3ba4442fb216db7a2b98f8a887d572ce494955035637dc3ca897917445.png"	2612
